ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2016,30,female,employed,rural,30039.0,,,,
BEN,Benin,2016,30,female,employed,urban,22990.0,,,,
BEN,Benin,2016,30,female,unemployed,rural,222.0,,,,
BEN,Benin,2016,30,female,unemployed,urban,498.0,,,,
BEN,Benin,2016,30,male,employed,rural,34946.0,,,,
BEN,Benin,2016,30,male,employed,urban,30819.0,,,,
BEN,Benin,2016,30,male,unemployed,rural,163.0,,,,
BEN,Benin,2016,30,male,unemployed,urban,624.0,,,,
BEN,Benin,2016,31,female,employed,rural,29238.0,,,,
BEN,Benin,2016,31,female,employed,urban,22376.0,,,,
BEN,Benin,2016,31,female,unemployed,urban,484.0,,,,
BEN,Benin,2016,31,female,unemployed,rural,217.0,,,,
BEN,Benin,2016,31,male,employed,urban,30397.0,,,,
BEN,Benin,2016,31,male,employed,rural,34467.0,,,,
BEN,Benin,2016,31,male,unemployed,urban,616.0,,,,
BEN,Benin,2016,31,male,unemployed,rural,160.0,,,,
BEN,Benin,2016,32,female,employed,urban,21150.0,,,,
BEN,Benin,2016,32,female,employed,rural,27636.0,,,,
BEN,Benin,2016,32,female,unemployed,rural,205.0,,,,
BEN,Benin,2016,32,female,unemployed,urban,458.0,,,,
BEN,Benin,2016,32,male,employed,rural,32553.0,,,,
BEN,Benin,2016,32,male,employed,urban,28708.0,,,,
BEN,Benin,2016,32,male,unemployed,urban,581.0,,,,
BEN,Benin,2016,32,male,unemployed,rural,152.0,,,,
BEN,Benin,2016,33,female,employed,rural,26835.0,,,,
BEN,Benin,2016,33,female,employed,urban,20537.0,,,,
BEN,Benin,2016,33,female,unemployed,urban,444.0,,,,
BEN,Benin,2016,33,female,unemployed,rural,199.0,,,,
BEN,Benin,2016,33,male,employed,rural,31595.0,,,,
BEN,Benin,2016,33,male,employed,urban,27864.0,,,,
BEN,Benin,2016,33,male,unemployed,rural,147.0,,,,
BEN,Benin,2016,33,male,unemployed,urban,564.0,,,,
BEN,Benin,2016,34,female,employed,urban,19924.0,,,,
BEN,Benin,2016,34,female,employed,rural,26034.0,,,,
